crop,min_temp,max_temp,min_humidity,max_humidity,risk_level,shelf_life_low_temp,shelf_life_mid_temp,shelf_life_high_temp,storage_tips
Tomato,12,28,85,90,High,7,4,2,Store in a cool place away from direct sunlight. Use refrigeration below 15°C.
Potato,4,35,90,95,Low,45,30,15,"Keep in a dark, cool, dry place. Avoid refrigeration below 4°C to prevent sugar buildup."
Onion,0,32,60,70,Medium,30,21,14,"Store in a well-ventilated area, away from moisture and sunlight."
Banana,13,30,90,95,High,10,5,2,Store at room temperature. Avoid refrigeration to prevent browning.
Carrot,0,25,90,95,Medium,30,21,10,Refrigerate in a sealed plastic bag or container to maintain moisture.
Apple,0,20,90,95,Low,,,,
Grapes,0,15,90,95,High,,,,
Mango,10,28,85,90,High,,,,
Cauliflower,0,25,90,95,Medium,,,,
Cabbage,0,25,90,95,Medium,,,,
Spinach,0,15,95,100,High,,,,
Brinjal,10,28,85,90,High,,,,
Cucumber,10,25,90,95,High,,,,
Peas,0,10,95,100,High,,,,
Green Beans,0,10,95,100,High,,,,
Chili,0,25,70,80,Low,,,,
Garlic,0,30,60,70,Low,,,,
Beetroot,0,20,95,100,Medium,,,,
Papaya,10,30,85,90,High,,,,
Guava,10,28,85,90,Medium,,,,
Pear,0,20,90,95,Medium,,,,
Plum,0,20,90,95,Medium,,,,
Watermelon,10,30,85,90,Medium,,,,
Muskmelon,10,30,85,90,Medium,,,,
Pineapple,10,30,85,90,High,,,,
Lemon,0,25,85,90,Medium,,,,
Sweet Potato,10,28,85,90,Medium,,,,
Bitter Gourd,10,25,90,95,High,,,,
Bottle Gourd,10,25,90,95,High,,,,
Pumpkin,10,28,85,90,Low,,,,
Tomato,12,28,85,90,High,7,4,2,Store in a cool place away from direct sunlight. Use refrigeration below 15°C.
Potato,4,35,90,95,Low,45,30,15,"Keep in a dark, cool, dry place. Avoid refrigeration below 4°C to prevent sugar buildup."
Onion,0,32,60,70,Medium,30,21,14,"Store in a well-ventilated area, away from moisture and sunlight."
Banana,13,30,90,95,High,10,5,2,Store at room temperature. Avoid refrigeration to prevent browning.
Carrot,0,25,90,95,Medium,30,21,10,Refrigerate in a sealed plastic bag or container to maintain moisture.
Apple,0,20,90,95,Low,,,,
Grapes,0,15,90,95,High,,,,
Mango,10,28,85,90,High,,,,
Cauliflower,0,25,90,95,Medium,,,,
Cabbage,0,25,90,95,Medium,,,,
Spinach,0,15,95,100,High,,,,
Brinjal,10,28,85,90,High,,,,
Cucumber,10,25,90,95,High,,,,
Peas,0,10,95,100,High,,,,
Green Beans,0,10,95,100,High,,,,
Chili,0,25,70,80,Low,,,,
Garlic,0,30,60,70,Low,,,,
Beetroot,0,20,95,100,Medium,,,,
Papaya,10,30,85,90,High,,,,
Guava,10,28,85,90,Medium,,,,
Pear,0,20,90,95,Medium,,,,
Plum,0,20,90,95,Medium,,,,
Watermelon,10,30,85,90,Medium,,,,
Muskmelon,10,30,85,90,Medium,,,,
Pineapple,10,30,85,90,High,,,,
Lemon,0,25,85,90,Medium,,,,
Sweet Potato,10,28,85,90,Medium,,,,
Bitter Gourd,10,25,90,95,High,,,,
Bottle Gourd,10,25,90,95,High,,,,
Pumpkin,10,28,85,90,Low,,,,
Tomato,12,28,85,90,High,7,4,2,Store in a cool place away from direct sunlight. Use refrigeration below 15°C.
Potato,4,35,90,95,Low,45,30,15,"Keep in a dark, cool, dry place. Avoid refrigeration below 4°C to prevent sugar buildup."
Onion,0,32,60,70,Medium,30,21,14,"Store in a well-ventilated area, away from moisture and sunlight."
Banana,13,30,90,95,High,10,5,2,Store at room temperature. Avoid refrigeration to prevent browning.
Carrot,0,25,90,95,Medium,30,21,10,Refrigerate in a sealed plastic bag or container to maintain moisture.
Apple,0,20,90,95,Low,,,,
Grapes,0,15,90,95,High,,,,
Mango,10,28,85,90,High,,,,
Cauliflower,0,25,90,95,Medium,,,,
Cabbage,0,25,90,95,Medium,,,,
Spinach,0,15,95,100,High,,,,
Brinjal,10,28,85,90,High,,,,
Cucumber,10,25,90,95,High,,,,
Peas,0,10,95,100,High,,,,
Green Beans,0,10,95,100,High,,,,
Chili,0,25,70,80,Low,,,,
Garlic,0,30,60,70,Low,,,,
Beetroot,0,20,95,100,Medium,,,,
Papaya,10,30,85,90,High,,,,
Guava,10,28,85,90,Medium,,,,
Pear,0,20,90,95,Medium,,,,
Plum,0,20,90,95,Medium,,,,
Watermelon,10,30,85,90,Medium,,,,
Muskmelon,10,30,85,90,Medium,,,,
Pineapple,10,30,85,90,High,,,,
Lemon,0,25,85,90,Medium,,,,
Sweet Potato,10,28,85,90,Medium,,,,
Bitter Gourd,10,25,90,95,High,,,,
Bottle Gourd,10,25,90,95,High,,,,
Pumpkin,10,28,85,90,Low,,,,
Tomato,12,28,85,90,High,7,4,2,Store in a cool place away from direct sunlight. Use refrigeration below 15°C.
Potato,4,35,90,95,Low,45,30,15,"Keep in a dark, cool, dry place. Avoid refrigeration below 4°C to prevent sugar buildup."
Onion,0,32,60,70,Medium,30,21,14,"Store in a well-ventilated area, away from moisture and sunlight."
Banana,13,30,90,95,High,10,5,2,Store at room temperature. Avoid refrigeration to prevent browning.
Carrot,0,25,90,95,Medium,30,21,10,Refrigerate in a sealed plastic bag or container to maintain moisture.
Apple,0,20,90,95,Low,,,,
Grapes,0,15,90,95,High,,,,
Mango,10,28,85,90,High,,,,
Cauliflower,0,25,90,95,Medium,,,,
Cabbage,0,25,90,95,Medium,,,,
Spinach,0,15,95,100,High,,,,
Brinjal,10,28,85,90,High,,,,
Cucumber,10,25,90,95,High,,,,
Peas,0,10,95,100,High,,,,
Green Beans,0,10,95,100,High,,,,
Chili,0,25,70,80,Low,,,,
Garlic,0,30,60,70,Low,,,,
Beetroot,0,20,95,100,Medium,,,,
Papaya,10,30,85,90,High,,,,
Guava,10,28,85,90,Medium,,,,
Pear,0,20,90,95,Medium,,,,
Plum,0,20,90,95,Medium,,,,
Watermelon,10,30,85,90,Medium,,,,
Muskmelon,10,30,85,90,Medium,,,,
Pineapple,10,30,85,90,High,,,,
Lemon,0,25,85,90,Medium,,,,
Sweet Potato,10,28,85,90,Medium,,,,
Bitter Gourd,10,25,90,95,High,,,,
Bottle Gourd,10,25,90,95,High,,,,
Pumpkin,10,28,85,90,Low,,,,
Tomato,12,28,85,90,High,7,4,2,Store in a cool place away from direct sunlight. Use refrigeration below 15°C.
Potato,4,35,90,95,Low,45,30,15,"Keep in a dark, cool, dry place. Avoid refrigeration below 4°C to prevent sugar buildup."
Onion,0,32,60,70,Medium,30,21,14,"Store in a well-ventilated area, away from moisture and sunlight."
Banana,13,30,90,95,High,10,5,2,Store at room temperature. Avoid refrigeration to prevent browning.
Carrot,0,25,90,95,Medium,30,21,10,Refrigerate in a sealed plastic bag or container to maintain moisture.
Apple,0,20,90,95,Low,,,,
Grapes,0,15,90,95,High,,,,
Mango,10,28,85,90,High,,,,
Cauliflower,0,25,90,95,Medium,,,,
Cabbage,0,25,90,95,Medium,,,,
Spinach,0,15,95,100,High,,,,
Brinjal,10,28,85,90,High,,,,
Cucumber,10,25,90,95,High,,,,
Peas,0,10,95,100,High,,,,
Green Beans,0,10,95,100,High,,,,
Chili,0,25,70,80,Low,,,,
Garlic,0,30,60,70,Low,,,,
Beetroot,0,20,95,100,Medium,,,,
Papaya,10,30,85,90,High,,,,
Guava,10,28,85,90,Medium,,,,
Pear,0,20,90,95,Medium,,,,
Plum,0,20,90,95,Medium,,,,
Watermelon,10,30,85,90,Medium,,,,
Muskmelon,10,30,85,90,Medium,,,,
Pineapple,10,30,85,90,High,,,,
Lemon,0,25,85,90,Medium,,,,
Sweet Potato,10,28,85,90,Medium,,,,
Bitter Gourd,10,25,90,95,High,,,,
Bottle Gourd,10,25,90,95,High,,,,
Pumpkin,10,28,85,90,Low,,,,
